Path,Name,TypeName,Type,Description,Created,CreatedBy,Modified,ModifiedBy
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_exemption_reasons_f(Table),crw_ae_tax_exemption_reasons_f,Table,Table,,11/10/2019 10:10:32 AM,ird0sxw,11/10/2019 10:10:32 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_filing_frequencies_d(Table),crw_ae_tax_filing_frequencies_d,Table,Table,,11/10/2019 9:56:24 AM,ird0sxw,11/10/2019 9:56:24 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_filing_frequencies_f(Table),crw_ae_tax_filing_frequencies_f,Table,Table,,11/10/2019 9:56:24 AM,ird0sxw,11/10/2019 9:56:24 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_gst_d(Table),crw_ae_tax_gst_d,Table,Table,,2/12/2019 12:03:57 PM,ird0sxw,2/05/2020 3:25:07 PM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_gst_f(Table),crw_ae_tax_gst_f,Table,Table,,2/12/2019 12:03:57 PM,ird0sxw,1/05/2020 2:54:15 PM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_gst_r(Table),crw_ae_tax_gst_r,Table,Table,,11/04/2020 10:45:24 AM,ird0sxw,2/05/2020 4:37:33 PM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_pay_d(Table),crw_ae_tax_pay_d,Table,Table,,2/12/2019 1:04:12 PM,ird0sxw,9/04/2020 1:50:41 PM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_pay_f(Table),crw_ae_tax_pay_f,Table,Table,,2/12/2019 1:04:12 PM,ird0sxw,9/04/2020 1:43:13 PM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_pay_r(Table),crw_ae_tax_pay_r,Table,Table,,11/04/2020 10:45:24 AM,ird0sxw,11/04/2020 10:45:24 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_pie_d(Table),crw_ae_tax_pie_d,Table,Table,,2/12/2019 1:23:15 PM,ird0sxw,9/04/2020 3:17:39 PM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_pie_f(Table),crw_ae_tax_pie_f,Table,Table,,2/12/2019 1:23:15 PM,ird0sxw,9/04/2020 3:07:50 PM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_pie_r(Table),crw_ae_tax_pie_r,Table,Table,,11/04/2020 10:45:24 AM,ird0sxw,11/04/2020 10:45:24 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_reg_status_codes_d(Table),crw_ae_tax_reg_status_codes_d,Table,Table,,3/12/2019 2:00:47 PM,ird0sxw,3/12/2019 2:00:47 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_reg_status_codes_f(Table),crw_ae_tax_reg_status_codes_f,Table,Table,,3/12/2019 2:00:47 PM,ird0sxw,3/12/2019 2:00:47 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_registrations_d(Table),crw_ae_tax_registrations_d,Table,Table,,10/10/2019 1:53:42 PM,ird0sxw,9/04/2020 7:42:44 AM,ird0sxw
