Path,Name,TypeName,Type,Description,Created,CreatedBy,Modified,ModifiedBy
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/START(Folder),START,Folder,Folder,,10/09/2019 3:20:54 PM,ird0mxw,10/09/2019 3:20:54 PM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_client_codes_am_Cleanse(DeployedJob),crw_pe_client_codes_am_Cleanse,DeployedJob,Deployed job,,19/09/2019 11:49:15 AM,,11/05/2020 10:15:00 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_client_codes_am_Commit(DeployedJob),crw_pe_client_codes_am_Commit,DeployedJob,Deployed job,,19/09/2019 11:49:13 AM,,11/05/2020 10:15:02 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_client_names_Cleanse(DeployedJob),crw_pe_client_names_Cleanse,DeployedJob,Deployed job,(DIPFP-931) Use date_applied as the record_effective_timestamp at the Compress step,13/09/2019 9:47:37 AM,,11/05/2020 10:13:14 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_client_names_Commit(DeployedJob),crw_pe_client_names_Commit,DeployedJob,Deployed job,,13/09/2019 9:47:40 AM,,11/05/2020 10:13:17 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_clients_Cleanse(DeployedJob),crw_pe_clients_Cleanse,DeployedJob,Deployed job,,13/09/2019 9:47:41 AM,,11/05/2020 10:16:03 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_clients_Commit(DeployedJob),crw_pe_clients_Commit,DeployedJob,Deployed job,,13/09/2019 9:47:44 AM,,11/05/2020 10:16:05 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_customers_Cleanse(DeployedJob),crw_pe_customers_Cleanse,DeployedJob,Deployed job,,13/09/2019 9:47:46 AM,,11/05/2020 10:16:16 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_customers_Commit(DeployedJob),crw_pe_customers_Commit,DeployedJob,Deployed job,,13/09/2019 9:47:48 AM,,11/05/2020 10:16:19 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_entity_classes_Cleanse(DeployedJob),crw_pe_entity_classes_Cleanse,DeployedJob,Deployed job,,13/09/2019 9:47:50 AM,,11/05/2020 10:16:25 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_entity_classes_Commit(DeployedJob),crw_pe_entity_classes_Commit,DeployedJob,Deployed job,,13/09/2019 9:47:51 AM,,11/05/2020 10:16:29 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_entity_types_Cleanse(DeployedJob),crw_pe_entity_types_Cleanse,DeployedJob,Deployed job,,13/09/2019 9:47:54 AM,,11/05/2020 10:16:32 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_entity_types_Commit(DeployedJob),crw_pe_entity_types_Commit,DeployedJob,Deployed job,,13/09/2019 9:47:56 AM,,11/05/2020 10:16:35 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_external_references_Cleanse(DeployedJob),crw_pe_external_references_Cleanse,DeployedJob,Deployed job,,13/09/2019 9:47:57 AM,,11/05/2020 10:15:23 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_external_references_Commit(DeployedJob),crw_pe_external_references_Commit,DeployedJob,Deployed job,,13/09/2019 9:48:00 AM,,11/05/2020 10:15:30 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_offices_Cleanse(DeployedJob),crw_pe_offices_Cleanse,DeployedJob,Deployed job,,13/09/2019 9:48:02 AM,,11/05/2020 10:15:38 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_offices_Commit(DeployedJob),crw_pe_offices_Commit,DeployedJob,Deployed job,,13/09/2019 9:48:04 AM,,11/05/2020 10:15:41 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_special_clients_all_Cleanse(DeployedJob),crw_pe_special_clients_all_Cleanse,DeployedJob,Deployed job,,2/10/2019 1:12:14 PM,,11/05/2020 10:14:54 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW/crw_pe_special_clients_all_Commit(DeployedJob),crw_pe_special_clients_all_Commit,DeployedJob,Deployed job,,2/10/2019 1:12:12 PM,,11/05/2020 10:14:57 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/START/crw_ps_lan_indicator_Cleanse(DeployedJob),crw_ps_lan_indicator_Cleanse,DeployedJob,Deployed job,,15/10/2019 9:06:33 AM,,11/05/2020 10:15:14 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/START/crw_ps_lan_indicator_Commit(DeployedJob),crw_ps_lan_indicator_Commit,DeployedJob,Deployed job,,15/10/2019 9:06:35 AM,,11/05/2020 10:15:16 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/START/crw_ps_lancustomerlevel_Cleanse(DeployedJob),crw_ps_lancustomerlevel_Cleanse,DeployedJob,Deployed job,,10/09/2019 3:32:36 PM,,11/05/2020 10:14:35 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/START/crw_ps_lancustomerlevel_Commit(DeployedJob),crw_ps_lancustomerlevel_Commit,DeployedJob,Deployed job,,10/09/2019 3:32:38 PM,,11/05/2020 10:14:38 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/START/crw_ps_lancustomersubtype_Cleanse(DeployedJob),crw_ps_lancustomersubtype_Cleanse,DeployedJob,Deployed job,,10/09/2019 3:32:40 PM,,11/05/2020 10:14:30 AM,ird0mxw
